date,open,high,low,close,volume,symbol
2020-01-02 07:00:00,6.58,6.64,6.55,6.64,1163109,ACB
2020-01-03 07:00:00,6.64,6.7,6.61,6.64,1055528,ACB
2020-01-06 07:00:00,6.64,6.64,6.5,6.5,1286035,ACB
2020-01-07 07:00:00,6.5,6.55,6.5,6.5,1050934,ACB
2020-01-08 07:00:00,6.5,6.5,6.35,6.38,2304937,ACB
2020-01-09 07:00:00,6.41,6.53,6.41,6.47,1422248,ACB
2020-01-10 07:00:00,6.5,6.67,6.5,6.55,2371501,ACB
2020-01-13 07:00:00,6.61,6.61,6.55,6.61,1523181,ACB
2020-01-14 07:00:00,6.61,6.79,6.61,6.79,2851982,ACB
2020-01-15 07:00:00,6.79,6.79,6.7,6.73,1158657,ACB
2020-01-16 07:00:00,6.73,6.93,6.73,6.9,2819687,ACB
2020-01-17 07:00:00,6.93,6.96,6.84,6.87,2706194,ACB
2020-01-20 07:00:00,6.87,7.13,6.87,7.02,4443379,ACB
2020-01-21 07:00:00,7.07,7.13,7.02,7.07,1775816,ACB
2020-01-22 07:00:00,7.1,7.1,7.02,7.07,1574379,ACB
2020-01-30 07:00:00,6.99,7.02,6.7,6.81,4250097,ACB
2020-01-31 07:00:00,6.79,6.87,6.61,6.64,4243264,ACB
2020-02-03 07:00:00,6.44,6.64,6.27,6.53,4430186,ACB
2020-02-04 07:00:00,6.61,6.7,6.5,6.7,2397062,ACB
2020-02-05 07:00:00,6.76,6.79,6.61,6.64,2790275,ACB
2020-02-06 07:00:00,6.67,6.93,6.64,6.93,2980981,ACB
2020-02-07 07:00:00,6.93,6.96,6.81,6.87,2007251,ACB
2020-02-10 07:00:00,6.87,6.9,6.76,6.81,1271190,ACB
2020-02-11 07:00:00,6.81,6.87,6.79,6.84,1862090,ACB
2020-02-12 07:00:00,6.87,7.42,6.87,7.39,10516207,ACB
2020-02-13 07:00:00,7.39,7.42,7.25,7.36,3773365,ACB
2020-02-14 07:00:00,7.36,7.74,7.36,7.62,8018099,ACB
2020-02-17 07:00:00,7.59,7.71,7.51,7.62,3764464,ACB
2020-02-18 07:00:00,7.62,7.82,7.59,7.68,6293208,ACB
2020-02-19 07:00:00,7.65,7.71,7.48,7.59,5091969,ACB
2020-02-20 07:00:00,7.59,7.8,7.54,7.62,5578717,ACB
2020-02-21 07:00:00,7.19,7.68,7.19,7.42,6333926,ACB
2020-02-24 07:00:00,7.36,7.39,6.87,6.93,10321149,ACB
2020-02-25 07:00:00,6.79,7.25,6.67,7.25,8279866,ACB
2020-02-26 07:00:00,7.22,7.25,7.02,7.1,4519324,ACB
2020-02-27 07:00:00,6.99,7.36,6.99,7.36,5309790,ACB
2020-02-28 07:00:00,6.64,7.3,6.64,7.28,5959642,ACB
2020-03-02 07:00:00,7.04,7.36,7.04,7.28,3629494,ACB
2020-03-03 07:00:00,7.39,7.48,7.3,7.39,6364207,ACB
2020-03-04 07:00:00,7.39,7.45,7.3,7.45,5047583,ACB
2020-03-05 07:00:00,7.51,7.62,7.33,7.39,5965022,ACB
2020-03-06 07:00:00,7.36,7.36,7.25,7.3,3959935,ACB
2020-03-09 07:00:00,7.13,7.13,6.64,6.73,16776046,ACB
2020-03-10 07:00:00,6.64,7.16,6.61,6.99,7582331,ACB
2020-03-11 07:00:00,7.02,7.04,6.64,6.76,7841324,ACB
