date,open,high,low,close,volume,symbol
2015-09-28 07:00:00,3.13,3.16,3.06,3.06,265140,ACB
2015-09-29 07:00:00,3.05,3.09,2.98,3.08,299147,ACB
2015-09-30 07:00:00,3.09,3.11,3.08,3.08,123594,ACB
2015-10-01 07:00:00,3.06,3.09,2.78,3.08,227369,ACB
2015-10-02 07:00:00,3.08,3.09,3.08,3.09,158695,ACB
2015-10-05 07:00:00,3.09,3.11,3.06,3.11,220204,ACB
2015-10-06 07:00:00,3.13,3.24,3.13,3.2,895315,ACB
2015-10-07 07:00:00,3.24,3.24,3.16,3.16,188078,ACB
2015-10-08 07:00:00,3.14,3.28,3.14,3.2,541780,ACB
2015-10-09 07:00:00,3.25,3.28,3.24,3.27,557772,ACB
2015-10-12 07:00:00,3.28,3.32,3.25,3.32,479803,ACB
2015-10-13 07:00:00,3.28,3.3,3.27,3.3,230664,ACB
2015-10-14 07:00:00,3.28,3.3,3.25,3.3,296896,ACB
2015-10-15 07:00:00,3.27,3.32,3.25,3.3,371189,ACB
2015-10-16 07:00:00,3.32,3.33,3.28,3.28,431631,ACB
2015-10-19 07:00:00,3.22,3.32,3.22,3.28,178784,ACB
2015-10-20 07:00:00,3.28,3.3,3.24,3.27,149907,ACB
2015-10-21 07:00:00,3.27,3.3,3.25,3.25,282119,ACB
2015-10-22 07:00:00,3.24,3.3,3.24,3.3,176203,ACB
2015-10-23 07:00:00,3.3,3.32,3.28,3.3,175412,ACB
2015-10-26 07:00:00,3.3,3.33,3.3,3.32,246978,ACB
2015-10-27 07:00:00,3.28,3.32,3.27,3.32,72424,ACB
2015-10-28 07:00:00,3.27,3.3,3.27,3.27,78194,ACB
2015-10-29 07:00:00,3.28,3.3,3.27,3.3,204951,ACB
2015-10-30 07:00:00,3.28,3.33,3.28,3.3,167701,ACB
2015-11-02 07:00:00,3.3,3.3,3.24,3.27,49251,ACB
2015-11-03 07:00:00,3.24,3.28,3.24,3.27,126751,ACB
2015-11-04 07:00:00,3.28,3.28,3.24,3.24,114262,ACB
2015-11-05 07:00:00,3.24,3.27,3.24,3.25,130706,ACB
2015-11-06 07:00:00,3.27,3.28,3.2,3.27,60404,ACB
2015-11-09 07:00:00,3.28,3.28,3.24,3.24,62807,ACB
2015-11-10 07:00:00,3.41,3.41,3.2,3.2,59686,ACB
2015-11-11 07:00:00,3.22,3.22,3.16,3.16,63351,ACB
2015-11-12 07:00:00,3.17,3.22,3.16,3.22,192162,ACB
2015-11-13 07:00:00,3.22,3.25,3.2,3.25,89348,ACB
2015-11-16 07:00:00,3.19,3.24,3.17,3.2,182808,ACB
2015-11-17 07:00:00,3.17,3.22,3.17,3.19,104666,ACB
2015-11-18 07:00:00,3.19,3.2,3.17,3.2,106123,ACB
2015-11-19 07:00:00,3.19,3.2,3.17,3.19,149493,ACB
2015-11-20 07:00:00,3.19,3.19,3.17,3.17,52888,ACB
2015-11-23 07:00:00,3.17,3.17,3.14,3.16,137973,ACB
2015-11-24 07:00:00,2.86,3.19,2.86,3.11,104586,ACB
2015-11-25 07:00:00,3.08,3.16,3.06,3.11,87977,ACB
2015-11-26 07:00:00,3.09,3.14,3.09,3.11,125075,ACB
2015-11-27 07:00:00,3.13,3.14,3.08,3.08,159463,ACB
2015-11-30 07:00:00,3.13,3.13,3.01,3.08,65564,ACB
2015-12-01 07:00:00,3.09,3.09,3.03,3.08,70757,ACB
